# lambda	flux
 99.5 0.0
 101.0 0.0
 102.5 0.0
 104.0 0.0
 105.5 0.0
 107.0 0.0
 108.5 0.0
 110.0 0.0
 111.5 0.0
 113.0 0.0
 114.5 0.0
 116.0 0.0
 117.5 0.0
 119.0 0.0
 120.5 0.0
 122.0 0.0
 123.5 0.0
 125.0 0.0
 126.5 0.0
 128.0 0.0
 129.5 0.0
 131.0 0.0
 132.5 0.0
 134.0 0.0
 135.5 0.0
 137.0 0.0
 138.5 0.0
 140.0 0.0
 141.5 0.0
 143.0 0.0
 144.5 0.0
 146.0 0.0
 147.5 0.0
 149.0 0.0
 150.5 0.0
 152.0 0.0
 153.5 0.0
 155.0 0.0
 156.5 0.0
 158.0 0.0
 159.5 0.0
 161.0 0.0
 162.5 0.0
 164.0 0.0
 165.5 0.0
 167.0 0.0
 168.5 0.0
 170.0 0.0
 171.5 0.0
 173.0 0.0
 174.5 0.0
 176.0 0.0
 177.5 0.0
 179.0 0.0
 180.5 0.0
 182.0 0.0
 183.5 0.0
 185.0 0.0
 186.5 0.0
 188.0 0.0
 189.5 0.0
 191.0 0.0
 192.5 0.0
 194.0 0.0
 195.5 0.0
 197.0 0.0
 198.5 0.0
 200.0 0.0
 201.5 0.0
 203.0 0.0
 204.5 0.0
 206.0 0.0
 207.5 0.0
 209.0 0.0
 210.5 0.0
 212.0 0.0
 213.5 0.0
 215.0 0.0
 216.5 0.0
 218.0 0.0
 219.5 0.0
 221.0 0.0
 222.5 0.0
 224.0 0.0
 225.5 0.0
 227.0 0.0
 228.5 0.0
 230.0 0.0
 231.5 0.0
 233.0 0.0
 234.5 0.0
 236.0 0.0
 237.5 0.0
 239.0 0.0
 240.5 0.0
 242.0 0.0
 243.5 0.0
 245.0 0.0
 246.5 0.0
 248.0 0.0
 249.5 0.0
 251.0 0.0
 252.5 0.0
 254.0 0.0
 255.5 0.0
 257.0 0.0
 258.5 0.0
 260.0 0.0
 261.5 0.0
 263.0 0.0
 264.5 0.0
 266.0 0.0
 267.5 0.0
 269.0 0.0
 270.5 0.0
 272.0 0.0
 273.5 0.0
 275.0 0.0
 276.5 0.0
 278.0 0.0
 279.5 0.0
 281.0 0.0
 282.5 0.0
 284.0 0.0
 285.5 0.0
 287.0 0.0
 288.5 0.0
 290.0 0.0
 291.5 0.0
 293.0 0.0
 294.5 0.0
 296.0 0.0
 297.5 0.0
 299.0 0.0
 300.5 0.0
 302.0 0.0
 303.5 0.0
 305.0 0.0
 306.5 0.0
 308.0 0.0
 309.5 0.0
 311.0 0.0
 312.5 0.0
 314.0 0.0
 315.5 0.0
 317.0 0.0
 318.5 0.0
 320.0 0.0
 321.5 0.0
 323.0 0.0
 324.5 0.0
 326.0 0.0
 327.5 0.0
 329.0 0.0
 330.5 0.0
 332.0 0.0
 333.5 0.0
 335.0 0.0
 336.5 0.0
 338.0 0.0
 339.5 0.0
 341.0 0.0
 342.5 0.0
 344.0 0.0
 345.5 0.0
 347.0 0.0
 348.5 0.0
 350.0 0.0
 351.5 0.0
 353.0 0.0
 354.5 0.0
 356.0 0.0
 357.5 0.0
 359.0 0.0
 360.5 0.0
 362.0 0.0
 363.5 0.0
 365.0 0.0
 366.5 0.0
 368.0 0.0
 369.5 0.0
 371.0 0.0
 372.5 0.0
 374.0 0.0
 375.5 0.0
 377.0 0.0
 378.5 0.0
 380.0 0.0
 381.5 0.0
 383.0 0.0
 384.5 0.0
 386.0 0.0
 387.5 0.0
 389.0 0.0
 390.5 0.0
 392.0 0.0
 393.5 0.0
 395.0 0.0
 396.5 0.0
 398.0 0.0
 399.5 0.0
 401.0 0.0
 402.5 0.0
 404.0 0.0
 405.5 0.0
 407.0 0.0
 408.5 0.0
 410.0 0.0
 411.5 0.0
 413.0 0.0
 414.5 0.0
 416.0 0.0
 417.5 0.0
 419.0 0.0
 420.5 0.0
 422.0 0.0
 423.5 0.0
 425.0 0.0
 426.5 0.0
 428.0 0.0
 429.5 0.0
 431.0 0.0
 432.5 0.0
 434.0 0.0
 435.5 0.0
 437.0 0.0
 438.5 0.0
 440.0 0.0
 441.5 0.0
 443.0 0.0
 444.5 0.0
 446.0 0.0
 447.5 0.0
 449.0 0.0
 450.5 0.0
 452.0 0.0
 453.5 0.0
 455.0 0.0
 456.5 0.0
 458.0 0.0
 459.5 0.0
 461.0 0.0
 462.5 0.0
 464.0 0.0
 465.5 0.0
 467.0 0.0
 468.5 0.0
 470.0 0.0
 471.5 0.0
 473.0 0.0
 474.5 0.0
 476.0 0.0
 477.5 0.0
 479.0 0.0
 480.5 0.0
 482.0 0.0
 483.5 0.0
 485.0 0.0
 486.5 0.0
 488.0 0.0
 489.5 0.0
 491.0 0.0
 492.5 0.0
 494.0 0.0
 495.5 0.0
 497.0 0.0
 498.5 0.0
 500.0 0.0
 501.5 0.0
 503.0 0.0
 504.5 0.0
 506.0 0.0
 507.5 0.0
 509.0 0.0
 510.5 0.0
 512.0 0.0
 513.5 0.0
 515.0 0.0
 516.5 0.0
 518.0 0.0
 519.5 0.0
 521.0 0.0
 522.5 0.0
 524.0 0.0
 525.5 0.0
 527.0 0.0
 528.5 0.0
 530.0 0.0
 531.5 0.0
 533.0 0.0
 534.5 0.0
 536.0 0.0
