# lambda	flux
 99.9058 0.0
 101.1005 0.0
 102.2952 0.0
 103.4899 0.0
 104.6846 0.0
 105.8793 0.0
 107.074 0.0
 108.2687 0.0
 109.4634 0.0
 110.6581 0.0
 111.8528 0.0
 113.0475 0.0
 114.2422 0.0
 115.4369 0.0
 116.6316 0.0
 117.8263 0.0
 119.021 0.0
 120.2157 0.0
 121.4104 0.0
 122.6051 0.0
 123.7998 0.0
 124.9945 0.0
 126.1892 0.0
 127.3839 0.0
 128.5786 0.0
 129.7733 0.0
 130.968 0.0
 132.1627 0.0
 133.3574 0.0
 134.5521 0.0
 135.7468 0.0
 136.9415 0.0
 138.1362 0.0
 139.3309 0.0
 140.5256 0.0
 141.7203 0.0
 142.915 0.0
 144.1097 0.0
 145.3044 0.0
 146.4991 0.0
 147.6938 0.0
 148.8885 0.0
 150.0832 0.0
 151.2779 0.0
 152.4726 0.0
 153.6673 0.0
 154.862 0.0
 156.0567 0.0
 157.2514 0.0
 158.4461 0.0
 159.6408 0.0
 160.8355 0.0
 162.0302 0.0
 163.2249 0.0
 164.4196 0.0
 165.6143 0.0
 166.809 0.0
 168.0037 0.0
 169.1984 0.0
 170.3931 0.0
 171.5878 0.0
 172.7825 0.0
 173.9772 0.0
 175.1719 0.0
 176.3666 0.0
 177.5613 0.0
 178.756 0.0
 179.9507 0.0
 181.1454 0.0
 182.3401 0.0
 183.5348 0.0
 184.7295 0.0
 185.9242 0.0
 187.1189 0.0
 188.3136 0.0
 189.5083 0.0
 190.703 0.0
 191.8977 0.0
 193.0924 0.0
 194.2871 0.0
 195.4818 0.0
 196.6765 0.0
 197.8712 0.0
 199.0659 0.0
 200.2606 0.0
 201.4553 0.0
 202.65 0.0
 203.8447 0.0
 205.0394 0.0
 206.2341 0.0
 207.4288 0.0
 208.6235 0.0
 209.8182 0.0
 211.0129 0.0
 212.2076 0.0
 213.4023 0.0
 214.597 0.0
 215.7917 0.0
 216.9864 0.0
 218.1811 0.0
 219.3758 0.0
 220.5705 0.0
 221.7652 0.0
 222.9599 0.0
 224.1546 0.0
 225.3493 0.0
 226.544 0.0
 227.7387 0.0
 228.9334 0.0
 230.1281 0.0
 231.3228 0.0
 232.5175 0.0
 233.7122 0.0
 234.9069 0.0
 236.1016 0.0
 237.2963 0.0
 238.491 0.0
 239.6857 0.0
 240.8804 0.0
 242.0751 0.0
 243.2698 0.0
 244.4645 0.0
 245.6592 0.0
 246.8539 0.0
 248.0486 0.0
 249.2433 0.0
 250.438 0.0
 251.6327 0.0
 252.8274 0.0
 254.0221 0.0
 255.2168 0.0
 256.4115 0.0
 257.6062 0.0
 258.8009 0.0
 259.9956 0.0
 261.1903 0.0
 262.385 0.0
 263.5797 0.0
 264.7744 0.0
 265.9691 0.0
 267.1638 0.0
 268.3585 0.0
 269.5532 0.0
 270.7479 0.0
 271.9426 0.0
 273.1373 0.0
 274.332 0.0
 275.5267 0.0
 276.7214 0.0
 277.9161 0.0
 279.1108 0.0
 280.3055 0.0
 281.5002 0.0
 282.6949 0.0
 283.8896 0.0
 285.0843 0.0
 286.279 0.0
 287.4737 0.0
 288.6684 0.0
 289.8631 0.0
 291.0578 0.0
 292.2525 0.0
 293.4472 0.0
 294.6419 0.0
 295.8366 0.0
 297.0313 0.0
 298.226 0.0
 299.4207 0.0
 300.6154 0.0
 301.8101 0.0
 303.0048 0.0
 304.1995 0.0
 305.3942 0.0
 306.5889 0.0
 307.7836 0.0
 308.9783 0.0
 310.173 0.0
 311.3677 0.0
 312.5624 0.0
 313.7571 0.0
 314.9518 0.0
 316.1465 0.0
 317.3412 0.0
 318.5359 0.0
 319.7306 0.0
 320.9253 0.0
 322.12 0.0
 323.3147 0.0
 324.5094 0.0
 325.7041 0.0
 326.8988 0.0
 328.0935 0.0
 329.2882 0.0
 330.4829 0.0
 331.6776 0.0
 332.8723 0.0
 334.067 0.0
 335.2617 0.0
 336.4564 0.0
 337.6511 0.0
 338.8458 0.0
 340.0405 0.0
 341.2352 0.0
 342.4299 0.0
 343.6246 0.0
 344.8193 0.0
 346.014 0.0
 347.2087 0.0
 348.4034 0.0
 349.5981 0.0
 350.7928 0.0
 351.9875 0.0
 353.1822 0.0
 354.3769 0.0
 355.5716 0.0
 356.7663 0.0
 357.961 0.0
 359.1557 0.0
 360.3504 0.0
 361.5451 0.0
 362.7398 0.0
 363.9345 0.0
 365.1292 0.0
 366.3239 0.0
 367.5186 0.0
 368.7133 0.0
 369.908 0.0
 371.1027 0.0
 372.2974 0.0
 373.4921 0.0
 374.6868 0.0
 375.8815 0.0
 377.0762 0.0
 378.2709 0.0
 379.4656 0.0
 380.6603 0.0
 381.855 0.0
 383.0497 0.0
 384.2444 0.0
 385.4391 0.0
 386.6338 0.0
 387.8285 0.0
 389.0232 0.0
 390.2179 0.0
 391.4126 0.0
 392.6073 0.0
 393.802 0.0
 394.9967 0.0
 396.1914 0.0
 397.3861 0.0
 398.5808 0.0
 399.7755 0.0
 400.9702 0.0
 402.1649 0.0
 403.3596 0.0
 404.5543 0.0
 405.749 0.0
 406.9437 0.0
 408.1384 0.0
 409.3331 0.0
 410.5278 0.0
 411.7225 0.0
 412.9172 0.0
 414.1119 0.0
 415.3066 0.0
 416.5013 0.0
 417.696 0.0
 418.8907 0.0
 420.0854 0.0
 421.2801 0.0
 422.4748 0.0
 423.6695 0.0
 424.8642 0.0
 426.0589 0.0
 427.2536 0.0
 428.4483 0.0
 429.643 0.0
 430.8377 0.0
 432.0324 0.0
 433.2271 0.0
 434.4218 0.0
 435.6165 0.0
 436.8112 0.0
 438.0059 0.0
 439.2006 0.0
 440.3953 0.0
 441.59 0.0
 442.7847 0.0
 443.9794 0.0
 445.1741 0.0
 446.3688 0.0
 447.5635 0.0
 448.7582 0.0
 449.9529 0.0
 451.1476 0.0
 452.3423 0.0
 453.537 0.0
 454.7317 0.0
 455.9264 0.0
 457.1211 0.0
 458.3158 0.0
 459.5105 0.0
 460.7052 0.0
 461.8999 0.0
 463.0946 0.0
 464.2893 0.0
 465.484 0.0
 466.6787 0.0
 467.8734 0.0
 469.0681 0.0
 470.2628 0.0
 471.4575 0.0
 472.6522 0.0
 473.8469 0.0
 475.0416 0.0
 476.2363 0.0
 477.431 0.0
 478.6257 0.0
 479.8204 0.0
 481.0151 0.0
 482.2098 0.0
 483.4045 0.0
 484.5992 0.0
 485.7939 0.0
 486.9886 0.0
 488.1833 0.0
 489.378 0.0
 490.5727 0.0
 491.7674 0.0
 492.9621 0.0
 494.1568 0.0
 495.3515 0.0
 496.5462 0.0
 497.7409 0.0
 498.9356 0.0
 500.1303 0.0
 501.325 0.0
 502.5197 0.0
 503.7144 0.0
 504.9091 0.0
 506.1038 0.0
 507.2985 0.0
 508.4932 0.0
 509.6879 0.0
 510.8826 0.0
 512.0773 0.0
 513.272 0.0
 514.4667 0.0
 515.6614 0.0
 516.8561 0.0
 518.0508 0.0
 519.2455 0.0
 520.4402 0.0
 521.6349 0.0
 522.8296 0.0
 524.0243 0.0
 525.219 0.0
 526.4137 0.0
 527.6084 0.0
 528.8031 0.0
 529.9978 0.0
 531.1925 0.0
 532.3872 0.0
 533.5819 0.0
 534.7766 0.0
 535.9713 0.0
 537.166 0.0
 538.3607 0.0
 539.5554 0.0
 540.7501 0.0
 541.9448 0.0
 543.1395 0.0
 544.3342 0.0
 545.5289 0.0
 546.7236 0.0
 547.9183 0.0
 549.113 0.0
 550.3077 0.0
 551.5024 0.0
 552.6971 0.0
 553.8918 0.0
 555.0865 0.0
 556.2812 0.0
 557.4759 0.0
 558.6706 0.0
 559.8653 0.0
 561.06 0.0
 562.2547 0.0
 563.4494 0.0
 564.6441 0.0
 565.8388 0.0
 567.0335 0.0
 568.2282 0.0
 569.4229 0.0
 570.6176 0.0
 571.8123 0.0
 573.007 0.0
 574.2017 0.0
 575.3964 0.0
 576.5911 0.0
 577.7858 0.0
 578.9805 0.0
 580.1752 0.0
 581.3699 0.0
 582.5646 0.0
 583.7593 0.0
 584.954 0.0
 586.1487 0.0
 587.3434 0.0
 588.5381 0.0
 589.7328 0.0
 590.9275 0.0
 592.1222 0.0
 593.3169 0.0
 594.5116 0.0
 595.7063 0.0
 596.901 0.0
 598.0957 0.0
 599.2904 0.0
 600.4851 0.0
 601.6798 0.0
 602.8745 0.0
 604.0692 0.0
 605.2639 0.0
 606.4586 0.0
 607.6533 0.0
 608.848 0.0
 610.0427 0.0
 611.2374 0.0
 612.4321 0.0
 613.6268 0.0
 614.8215 0.0
 616.0162 0.0
