# lambda	flux
 100.65556 0.0
 101.81792 0.0
 102.98028 0.0
 104.14264 0.0
 105.305 0.0
 106.46736 0.0
 107.62972 0.0
 108.79208 0.0
 109.95444 0.0
 111.1168 0.0
 112.27916 0.0
 113.44152 0.0
 114.60388 0.0
 115.76624 0.0
 116.9286 0.0
 118.09096 0.0
 119.25332 0.0
 120.41568 0.0
 121.57804 0.0
 122.7404 0.0
 123.90276 0.0
 125.06512 0.0
 126.22748 0.0
 127.38984 0.0
 128.5522 0.0
 129.71456 0.0
 130.87692 0.0
 132.03928 0.0
 133.20164 0.0
 134.364 0.0
 135.52636 0.0
 136.68872 0.0
 137.85108 0.0
 139.01344 0.0
 140.1758 0.0
 141.33816 0.0
 142.50052 0.0
 143.66288 0.0
 144.82524 0.0
 145.9876 0.0
 147.14996 0.0
 148.31232 0.0
 149.47468 0.0
 150.63704 0.0
 151.7994 0.0
 152.96176 0.0
 154.12412 0.0
 155.28648 0.0
 156.44884 0.0
 157.6112 0.0
 158.77356 0.0
 159.93592 0.0
 161.09828 0.0
 162.26064 0.0
 163.423 0.0
 164.58536 0.0
 165.74772 0.0
 166.91008 0.0
 168.07244 0.0
 169.2348 0.0
 170.39716 0.0
 171.55952 0.0
 172.72188 0.0
 173.88424 0.0
 175.0466 0.0
 176.20896 0.0
 177.37132 0.0
 178.53368 0.0
 179.69604 0.0
 180.8584 0.0
 182.02076 0.0
 183.18312 0.0
 184.34548 0.0
 185.50784 0.0
 186.6702 0.0
 187.83256 0.0
 188.99492 0.0
 190.15728 0.0
 191.31964 0.0
 192.482 0.0
 193.64436 0.0
 194.80672 0.0
 195.96908 0.0
 197.13144 0.0
 198.2938 0.0
 199.45616 0.0
 200.61852 0.0
 201.78088 0.0
 202.94324 0.0
 204.1056 0.0
 205.26796 0.0
 206.43032 0.0
 207.59268 0.0
 208.75504 0.0
 209.9174 0.0
 211.07976 0.0
 212.24212 0.0
 213.40448 0.0
 214.56684 0.0
 215.7292 0.0
 216.89156 0.0
 218.05392 0.0
 219.21628 0.0
 220.37864 0.0
 221.541 0.0
 222.70336 0.0
 223.86572 0.0
 225.02808 0.0
 226.19044 0.0
 227.3528 0.0
 228.51516 0.0
 229.67752 0.0
 230.83988 0.0
 232.00224 0.0
 233.1646 0.0
 234.32696 0.0
 235.48932 0.0
 236.65168 0.0
 237.81404 0.0
 238.9764 0.0
 240.13876 0.0
 241.30112 0.0
 242.46348 0.0
 243.62584 0.0
 244.7882 0.0
 245.95056 0.0
 247.11292 0.0
 248.27528 0.0
 249.43764 0.0
 250.6 0.0
 251.76236 0.0
 252.92472 0.0
 254.08708 0.0
 255.24944 0.0
 256.4118 0.0
 257.57416 0.0
 258.73652 0.0
 259.89888 0.0
 261.06124 0.0
 262.2236 0.0
 263.38596 0.0
 264.54832 0.0
 265.71068 0.0
 266.87304 0.0
 268.0354 0.0
 269.19776 0.0
 270.36012 0.0
 271.52248 0.0
 272.68484 0.0
 273.8472 0.0
 275.00956 0.0
 276.17192 0.0
 277.33428 0.0
 278.49664 0.0
 279.659 0.0
 280.82136 0.0
 281.98372 0.0
 283.14608 0.0
 284.30844 0.0
 285.4708 0.0
 286.63316 0.0
 287.79552 0.0
 288.95788 0.0
 290.12024 0.0
 291.2826 0.0
 292.44496 0.0
 293.60732 0.0
 294.76968 0.0
 295.93204 0.0
 297.0944 0.0
 298.25676 0.0
 299.41912 0.0
 300.58148 0.0
 301.74384 0.0
 302.9062 0.0
 304.06856 0.0
 305.23092 0.0
 306.39328 0.0
 307.55564 0.0
 308.718 0.0
 309.88036 0.0
 311.04272 0.0
 312.20508 0.0
 313.36744 0.0
 314.5298 0.0
 315.69216 0.0
 316.85452 0.0
 318.01688 0.0
 319.17924 0.0
 320.3416 0.0
 321.50396 0.0
 322.66632 0.0
